created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-12-05T22:33:30+00:00,111,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:33:46+00:00,112,22.60000,38.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:34:01+00:00,113,22.50000,39.00000,23.40000,38.00000,23.50000,41.00000,,,,
2023-12-05T22:34:16+00:00,114,22.60000,40.00000,23.40000,38.00000,23.50000,41.00000,,,,
2023-12-05T23:02:08+00:00,115,22.50000,40.00000,23.40000,37.00000,23.30000,41.00000,,,,
2023-12-05T23:02:24+00:00,116,22.50000,40.00000,23.30000,38.00000,23.20000,42.00000,,,,
2023-12-05T23:02:39+00:00,117,22.50000,40.00000,23.30000,38.00000,23.10000,42.00000,,,,
2023-12-05T23:02:55+00:00,118,22.50000,40.00000,23.30000,38.00000,23.00000,42.00000,,,,
2023-12-05T23:03:10+00:00,119,22.50000,40.00000,23.20000,38.00000,23.00000,42.00000,,,,
2023-12-05T23:03:25+00:00,120,22.50000,40.00000,23.20000,39.00000,23.00000,42.00000,,,,
2023-12-05T23:03:41+00:00,121,22.50000,40.00000,23.20000,39.00000,22.90000,42.00000,,,,
2023-12-05T23:03:56+00:00,122,22.50000,40.00000,23.20000,38.00000,22.90000,42.00000,,,,
2023-12-05T23:04:11+00:00,123,22.50000,40.00000,23.10000,39.00000,22.90000,42.00000,,,,
2023-12-05T23:04:27+00:00,124,22.40000,40.00000,23.10000,39.00000,22.90000,43.00000,,,,
2023-12-05T23:04:42+00:00,125,22.40000,40.00000,23.10000,39.00000,22.80000,43.00000,,,,
2023-12-05T23:04:57+00:00,126,22.40000,39.00000,23.10000,38.00000,22.80000,42.00000,,,,
2023-12-05T23:05:13+00:00,127,22.30000,40.00000,23.10000,38.00000,22.80000,42.00000,,,,
2023-12-05T23:05:28+00:00,128,22.30000,40.00000,23.00000,38.00000,22.80000,42.00000,,,,
2023-12-05T23:05:44+00:00,129,22.30000,40.00000,23.00000,38.00000,22.80000,42.00000,,,,
2023-12-05T23:05:59+00:00,130,22.30000,40.00000,23.00000,38.00000,22.70000,42.00000,,,,
2023-12-05T23:06:15+00:00,131,22.20000,40.00000,23.00000,38.00000,22.70000,42.00000,,,,
2023-12-05T23:06:30+00:00,132,22.20000,40.00000,23.00000,38.00000,22.70000,42.00000,,,,
2023-12-05T23:06:46+00:00,133,22.20000,40.00000,22.90000,39.00000,22.70000,43.00000,,,,
2023-12-05T23:07:01+00:00,134,22.20000,40.00000,22.90000,39.00000,22.70000,43.00000,,,,
2023-12-05T23:07:17+00:00,135,22.20000,40.00000,22.90000,39.00000,22.70000,43.00000,,,,
2023-12-05T23:07:34+00:00,136,22.30000,45.00000,23.00000,43.00000,22.70000,48.00000,,,,
2023-12-05T23:07:49+00:00,137,22.30000,45.00000,23.00000,44.00000,22.90000,48.00000,,,,
2023-12-05T23:08:05+00:00,138,22.30000,40.00000,23.00000,40.00000,23.00000,44.00000,,,,
2023-12-05T23:08:20+00:00,139,22.40000,40.00000,23.00000,39.00000,22.90000,42.00000,,,,
2023-12-05T23:08:36+00:00,140,22.30000,39.00000,22.90000,38.00000,22.90000,42.00000,,,,
2023-12-05T23:08:51+00:00,141,22.30000,40.00000,22.90000,39.00000,22.90000,44.00000,,,,
2023-12-05T23:09:07+00:00,142,22.20000,40.00000,22.90000,39.00000,22.80000,44.00000,,,,
2023-12-05T23:09:22+00:00,143,22.20000,39.00000,22.80000,39.00000,22.70000,43.00000,,,,
2023-12-05T23:09:37+00:00,144,22.20000,40.00000,22.80000,39.00000,22.70000,42.00000,,,,
2023-12-05T23:09:53+00:00,145,22.10000,39.00000,22.80000,39.00000,22.60000,42.00000,,,,
2023-12-05T23:10:08+00:00,146,22.00000,40.00000,22.70000,39.00000,22.50000,43.00000,,,,
2023-12-05T23:10:24+00:00,147,22.00000,39.00000,22.60000,39.00000,22.50000,42.00000,,,,
